"factualizado","bloqueado","equivalencia","idsubcuentairpfcom","idsubcuentacom","stockmin","observaciones","codbarras","codimpuesto","stockfis","stockmax","costemedio","preciocoste","tipocodbarras","nostock","codsubcuentacom","descripcion","codsubcuentairpfcom","secompra","codfamilia","codfabricante","imagen","controlstock","referencia","tipo","pvp","sevende","publico","partnumber","trazabilidad"
"2020-01-18","0",NULL,NULL,NULL,"0","Origen= ;Visible=No;Unitat_Venda=;Unitat_Compra=;Nom_Compra=abonament;Multiplicador=1;",,"IVA0","-1","0","12.575714285714","0","Code39","0",NULL,"abonament",NULL,"1","VARI","5quarter",NULL,"1","abonament",NULL,"1","1","0",,"0"
"2018-04-04","1",NULL,NULL,NULL,"0","Origen= ;Visible=No;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Mongeta del Carai, granel;Multiplicador=1;",,"IVA4","1","0","8.2635","0","Code39","0",NULL,"Mongeta del Carai, granel",NULL,"1","2","agrariad",NULL,"1","agr0001",NULL,"10.3","1","0",,"0"
"2022-07-21","0",NULL,NULL,NULL,"0","Origen= ;Visible=Si;Unitat_Venda=kg;Unitat_Compra=kg;Nom_Compra=Llentia Pardina a granel, KG, GALLECS;Multiplicador=1;",,"IVA4","-0.163","0","3.2689491525424","0","Code39","0",NULL,"Llentia Pardina a granel, KG, GALLECS",NULL,"1","2","DavidBr",NULL,"1","agr0002",NULL,"3.06","1","0",,"0"
"2021-12-01","0",NULL,NULL,NULL,"0","Origen= ;Visible=Si;Unitat_Venda=kg;Unitat_Compra=kg;Nom_Compra=Cigró Menut a granel, KG, GALLECS;Multiplicador=1;",,"IVA4","-1.475","0","4.11","0","Code39","0",NULL,"Cigró Menut a granel, KG, GALLECS",NULL,"1","2","DavidBr",NULL,"1","agr0003",NULL,"3.86","1","0",,"0"
"2021-12-07","0",NULL,NULL,NULL,"0","Origen= ;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Mongeta del Ganxet 585 gr, AGRÀRIA DE VALLÈS;Multiplicador=1;","8437001086634","IVA10","22","0","3.59","0","Code39","0",NULL,"Mongeta del Ganxet 585 gr, AGRÀRIA DE VALLÈS",NULL,"1","4","agrariad",NULL,"1","agr0004",NULL,"4.6","1","0",,"0"
"2021-12-07","0",NULL,NULL,NULL,"0","Origen= ;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Llentia cuita 600 gr, AGRÀRIA DE VALLÈS;Multiplicador=1;","8437001086764","IVA10","49","0","2.39","0","Code39","0",NULL,"Llentia cuita 600 gr, AGRÀRIA DE VALLÈS",NULL,"1","4","agrariad",NULL,"1","agr0005",NULL,"3.06","1","0",,"0"
"2021-12-07","0",NULL,NULL,NULL,"0","Origen= ;Visible=Si;Unitat_Venda=unitat;Unitat_Compra=unitat;Nom_Compra=Cigró menut cuit 590g, AGRÀRIA DE VALLÈS;Multiplicador=1;","8437001086610","IVA10","52","0","2.39","0","Code39","0",NULL,"Cigró menut cuit 590g, AGRÀRIA DE VALLÈS",NULL,"1","4","agrariad",NULL,"1","agr0006",NULL,"3.06","1","0",,"0"
"2021-12-07","0",NULL,NULL,NULL,"0","Origen= ;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Llentia cuita 360 gr, AGRÀRIA DE VALLÈS;Multiplicador=1;","8437001086788","IVA10","47","0","1.79","1.79","Code39","0",NULL,"Llentia cuita 360 gr, AGRÀRIA DE VALLÈS",NULL,"1","4","agrariad",NULL,"1","agr0007",NULL,"2.29","1","0",,"0"
"2021-12-07","0",NULL,NULL,NULL,"0","Origen= ;Visible=Si;Unitat_Venda=unitat;Unitat_Compra=unitat;Nom_Compra=Cigró menut cuit 360 gr, AGRÀRIA DE VALLÈS;Multiplicador=1;","8437001086580","IVA10","44","0","1.69","2.14","Code39","0",NULL,"Cigró menut cuit 360 gr, AGRÀRIA DE VALLÈS",NULL,"1","4","agrariad",NULL,"1","agr0008",NULL,"2.16","1","0",,"0"
"2021-12-07","0",NULL,NULL,NULL,"0","Origen= ;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Mongeta del Ganxet 360 gr, AGRÀRIA DEL VALLÈS;Multiplicador=1;",,"IVA10","25","0","2.65","0","Code39","0",NULL,"Mongeta del Ganxet 360 gr, AGRÀRIA DEL VALLÈS",NULL,"1","4","agrariad",NULL,"1","agr0009",NULL,"3.39","1","0",,"0"
"2022-01-04","0",NULL,NULL,NULL,"0","Origen= ;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Salsa de calçots 315 gr, AGRÀRIA DEL VALLÈS;Multiplicador=1;",,"IVA10","23","0","3.65078","0","Code39","0",NULL,"Salsa de calçots 315 gr, AGRÀRIA DEL VALLÈS",NULL,"1","4","agrariad",NULL,"1","agr0010",NULL,"4.49","1","0",,"0"
"2022-09-13","0",NULL,NULL,NULL,"0","Origen= ;Visible=Si;Unitat_Venda=kg;Unitat_Compra=kg;Nom_Compra=Mel milfors/timó/romaní/bruc 0,5 kg, UNITAT,  EL RUSC;Multiplicador=1;",,"IVA10,5","41","0","5","0","Code39","0",NULL,"Mel milfors/timó/romaní/bruc 0,5 kg, UNITAT,  EL RUSC",NULL,"1","6","alexsubi",NULL,"1","ale0001",NULL,"6.37","1","0",,"0"
"2022-09-13","0",NULL,NULL,NULL,"0","Origen= ;Visible=Si;Unitat_Venda=kg;Unitat_Compra=kg;Nom_Compra=Mel milfors/timó/romaní/bruc 1 kg, UNITAT,  EL RUSC;Multiplicador=1;",,"IVA10,5","17","0","10","0","Code39","0",NULL,"Mel milfors/timó/romaní/bruc 1 kg, UNITAT,  EL RUSC",NULL,"1","6","alexsubi",NULL,"1","ale0002",NULL,"12.74","1","0",,"0"
"2022-03-18","1",NULL,NULL,NULL,"0","Origen= ;Visible=Si;Unitat_Venda=unitat;Unitat_Compra=unitat;Nom_Compra=Mel de castanyer 0,5 kg, UNITAT,  EL RUSC;Multiplicador=1;",,"IVA10","-3","0","5.4345454545455","0","Code39","0",NULL,"Mel de castanyer 450 gr, UNITAT, EL RUSC",NULL,"1","6","alexsubi",NULL,"1","ale0003",NULL,"7.04","1","0",,"0"
"2020-10-05","1",NULL,NULL,NULL,"0","Origen= ;Visible=Si;Unitat_Venda=unitat;Unitat_Compra=unitat;Nom_Compra=Mel de castanyer 1 kg, UNITAT, EL RUSC;Multiplicador=1;",,"IVA10","1","0","10.8375","0","Code39","0",NULL,"Mel de castanyer 1 kg, UNITAT, EL RUSC",NULL,"1","6","alexsubi",NULL,"1","ale0004",NULL,"13.82","1","0",,"0"
"2022-09-13","0",NULL,NULL,NULL,"0","Origen= ;Visible=Si;Unitat_Venda=kg;Unitat_Compra=kg;Nom_Compra=Mel de bosc 1kg, UNITAT,  EL RUSC;Multiplicador=1;",,"IVA10,5","-3","0","0","0","Code39","0",NULL,"Mel de bosc 1kg. UNITAT, EL RUSC",NULL,"1","6","alexsubi",NULL,"1","ale005",NULL,"13.44","1","0",,"0"
"2022-09-13","0",NULL,NULL,NULL,"0","Origen= ;Visible=Si;Unitat_Venda=kg;Unitat_Compra=kg;Nom_Compra=Mel de bosc 0,5 kg, UNITAT, EL RUSC;Multiplicador=1;",,"IVA10,5","-3","0","0","0","Code39","0",NULL,"Mel de bosc 0.5 Kg. UNITAT, EL RUSC",NULL,"1","6","alexsubi",NULL,"1","ale006",NULL,"6.91","1","0",,"0"
