"Activo","Puede publicar","Descripción","Unidad de medida","Unidad de medida compra","Descripción de compra","Código de barras","Impuestos del cliente","Impuestos de proveedor","Cantidad a mano","Coste","Nombre","Puede ser comprado","Categoría del Producto","Referencia interna","Tipo de producto","Precio de venta","Puede ser vendido"
"True","True","Origen= ;Visible=No;Unitat_Venda=;Unitat_Compra=;Nom_Compra=abonament;Multiplicador=1;","Unidades","Unidades","abonament","","No sujeto Repercutido (Bienes)","21% IVA soportado (bienes corrientes)","0.0","12.575714285714","abonament","True","Sin categoría","abonament","Almacenable","1.0","True"
"False","False","Origen= ;Visible=No;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Mongeta del Carai, granel;Multiplicador=1;","Unidades","Unidades","Mongeta del Carai, granel","","IVA 4% (Bienes)","21% IVA soportado (bienes corrientes)","1.0","8.2635","Mongeta del Carai, granel","True","Sin categoría","agr0001","Almacenable","10.3","True"
"True","True","Origen= ;Visible=Si;Unitat_Venda=kg;Unitat_Compra=kg;Nom_Compra=Llentia Pardina a granel, KG, GALLECS;Multiplicador=1;","kg","kg","Llentia Pardina a granel, KG, GALLECS","","IVA 4% (Bienes)","21% IVA soportado (bienes corrientes)","0.0","3.2689491525424","Llentia Pardina a granel, KG, GALLECS","True","Sin categoría","agr0002","Almacenable","3.06","True"
"True","True","Origen= ;Visible=Si;Unitat_Venda=kg;Unitat_Compra=kg;Nom_Compra=Cigró Menut a granel, KG, GALLECS;Multiplicador=1;","kg","kg","Cigró Menut a granel, KG, GALLECS","","IVA 4% (Bienes)","21% IVA soportado (bienes corrientes)","0.0","4.11","Cigró Menut a granel, KG, GALLECS","True","Sin categoría","agr0003","Almacenable","3.86","True"
"True","True","Origen= ;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Mongeta del Ganxet 585 gr, AGRÀRIA DE VALLÈS;Multiplicador=1;","Unidades","Unidades","Mongeta del Ganxet 585 gr, AGRÀRIA DE VALLÈS","8437001086634.0","IVA 10% (Bienes)","21% IVA soportado (bienes corrientes)","22.0","3.59","Mongeta del Ganxet 585 gr, AGRÀRIA DE VALLÈS","True","Sin categoría","agr0004","Almacenable","4.6","True"
"True","True","Origen= ;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Llentia cuita 600 gr, AGRÀRIA DE VALLÈS;Multiplicador=1;","Unidades","Unidades","Llentia cuita 600 gr, AGRÀRIA DE VALLÈS","8437001086764.0","IVA 10% (Bienes)","21% IVA soportado (bienes corrientes)","49.0","2.39","Llentia cuita 600 gr, AGRÀRIA DE VALLÈS","True","Sin categoría","agr0005","Almacenable","3.06","True"
"True","True","Origen= ;Visible=Si;Unitat_Venda=unitat;Unitat_Compra=unitat;Nom_Compra=Cigró menut cuit 590g, AGRÀRIA DE VALLÈS;Multiplicador=1;","Unidades","Unidades","Cigró menut cuit 590g, AGRÀRIA DE VALLÈS","8437001086610.0","IVA 10% (Bienes)","21% IVA soportado (bienes corrientes)","52.0","2.39","Cigró menut cuit 590g, AGRÀRIA DE VALLÈS","True","Sin categoría","agr0006","Almacenable","3.06","True"
"True","True","Origen= ;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Llentia cuita 360 gr, AGRÀRIA DE VALLÈS;Multiplicador=1;","Unidades","Unidades","Llentia cuita 360 gr, AGRÀRIA DE VALLÈS","8437001086788.0","IVA 10% (Bienes)","21% IVA soportado (bienes corrientes)","47.0","1.79","Llentia cuita 360 gr, AGRÀRIA DE VALLÈS","True","Sin categoría","agr0007","Almacenable","2.29","True"
"True","True","Origen= ;Visible=Si;Unitat_Venda=unitat;Unitat_Compra=unitat;Nom_Compra=Cigró menut cuit 360 gr, AGRÀRIA DE VALLÈS;Multiplicador=1;","Unidades","Unidades","Cigró menut cuit 360 gr, AGRÀRIA DE VALLÈS","8437001086580.0","IVA 10% (Bienes)","21% IVA soportado (bienes corrientes)","44.0","1.69","Cigró menut cuit 360 gr, AGRÀRIA DE VALLÈS","True","Sin categoría","agr0008","Almacenable","2.16","True"
"True","True","Origen= ;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Mongeta del Ganxet 360 gr, AGRÀRIA DEL VALLÈS;Multiplicador=1;","Unidades","Unidades","Mongeta del Ganxet 360 gr, AGRÀRIA DEL VALLÈS","","IVA 10% (Bienes)","21% IVA soportado (bienes corrientes)","25.0","2.65","Mongeta del Ganxet 360 gr, AGRÀRIA DEL VALLÈS","True","Sin categoría","agr0009","Almacenable","3.39","True"
"True","True","Origen= ;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Salsa de calçots 315 gr, AGRÀRIA DEL VALLÈS;Multiplicador=1;","Unidades","Unidades","Salsa de calçots 315 gr, AGRÀRIA DEL VALLÈS","","IVA 10% (Bienes)","21% IVA soportado (bienes corrientes)","23.0","3.65078","Salsa de calçots 315 gr, AGRÀRIA DEL VALLÈS","True","Sin categoría","agr0010","Almacenable","4.49","True"
"True","True","Origen= ;Visible=Si;Unitat_Venda=kg;Unitat_Compra=kg;Nom_Compra=Mel milfors/timó/romaní/bruc 0,5 kg, UNITAT,  EL RUSC;Multiplicador=1;","kg","kg","Mel milfors/timó/romaní/bruc 0,5 kg, UNITAT,  EL RUSC","","IVA 10,5% (Bienes)","21% IVA soportado (bienes corrientes)","41.0","5.0","Mel milfors/timó/romaní/bruc 0,5 kg, UNITAT,  EL RUSC","True","Sin categoría","ale0001","Almacenable","6.37","True"
"True","True","Origen= ;Visible=Si;Unitat_Venda=kg;Unitat_Compra=kg;Nom_Compra=Mel milfors/timó/romaní/bruc 1 kg, UNITAT,  EL RUSC;Multiplicador=1;","kg","kg","Mel milfors/timó/romaní/bruc 1 kg, UNITAT,  EL RUSC","","IVA 10,5% (Bienes)","21% IVA soportado (bienes corrientes)","17.0","10.0","Mel milfors/timó/romaní/bruc 1 kg, UNITAT,  EL RUSC","True","Sin categoría","ale0002","Almacenable","12.74","True"
"False","False","Origen= ;Visible=Si;Unitat_Venda=unitat;Unitat_Compra=unitat;Nom_Compra=Mel de castanyer 0,5 kg, UNITAT,  EL RUSC;Multiplicador=1;","Unidades","Unidades","Mel de castanyer 0,5 kg, UNITAT,  EL RUSC","","IVA 10% (Bienes)","21% IVA soportado (bienes corrientes)","0.0","5.4345454545455","Mel de castanyer 450 gr, UNITAT, EL RUSC","True","Sin categoría","ale0003","Almacenable","7.04","True"
"False","False","Origen= ;Visible=Si;Unitat_Venda=unitat;Unitat_Compra=unitat;Nom_Compra=Mel de castanyer 1 kg, UNITAT, EL RUSC;Multiplicador=1;","Unidades","Unidades","Mel de castanyer 1 kg, UNITAT, EL RUSC","","IVA 10% (Bienes)","21% IVA soportado (bienes corrientes)","1.0","10.8375","Mel de castanyer 1 kg, UNITAT, EL RUSC","True","Sin categoría","ale0004","Almacenable","13.82","True"
"True","True","Origen= ;Visible=Si;Unitat_Venda=kg;Unitat_Compra=kg;Nom_Compra=Mel de bosc 1kg, UNITAT,  EL RUSC;Multiplicador=1;","kg","kg","Mel de bosc 1kg, UNITAT,  EL RUSC","","IVA 10,5% (Bienes)","21% IVA soportado (bienes corrientes)","0.0","0.0","Mel de bosc 1kg. UNITAT, EL RUSC","True","Sin categoría","ale005","Almacenable","13.44","True"
"True","True","Origen= ;Visible=Si;Unitat_Venda=kg;Unitat_Compra=kg;Nom_Compra=Mel de bosc 0,5 kg, UNITAT, EL RUSC;Multiplicador=1;","kg","kg","Mel de bosc 0,5 kg, UNITAT, EL RUSC","","IVA 10,5% (Bienes)","21% IVA soportado (bienes corrientes)","0.0","0.0","Mel de bosc 0.5 Kg. UNITAT, EL RUSC","True","Sin categoría","ale006","Almacenable","6.91","True"
